Code,R2_Score,Pente,Intercept,P_Value
B3WFV2,0.013259421859188407,-0.1420483118267341,222.97596796337652,0.15915742178604192
H9G343,0.009114272210708572,-0.07571778366256551,413.4532183777933,0.24359185537629496
P0DM64,0.008739187514325498,-0.10506133401608564,192.8260067866449,0.25357782383029825
A0AAJ7TMY1,0.008592968610979778,-0.14924300599069465,160.37087742860433,0.25760539865605064
Q21978,0.008544092112307704,-0.13650045559587745,172.75615456499537,0.2589691366506888
Q4H3K6,0.008302048576045096,-0.11492422104289447,200.5911562055408,0.26585487466441765
Q21618,0.007194344741277332,-0.07821467684929788,245.7874883390153,0.3004422726810125
G5EF00,0.007091929704039657,-0.14826780337619958,142.0918083576165,0.3039205782236618
A8MTQ0,0.006734541008736253,-0.10497166336647966,188.40397613351033,0.3164724047675364
D0VWM4,0.005974408814033961,-0.154650109979108,124.1141372908653,0.3455133253198785
F2Q9X7,0.005661593847707876,-0.14980156236993247,123.86212536555723,0.35849975399926687
Q17134,0.005659969889017494,-0.049260781931650614,261.98516700566694,0.358568889658725
O62089,0.005454612283109779,-0.13299044296390714,134.28417072681168,0.36746089026267625
A0AAJ7T5N9,0.005415269141838628,-0.0952351940916457,203.91492030211495,0.36919904094367584
Q24570,0.0051810654377671085,-0.13307626297949826,130.65872688827028,0.3797862294538773
Q90259,0.005178229331888144,-0.09020987648901993,201.35118071205898,0.37991702095090196
Q20623,0.005163020393410923,-0.1271757441018655,140.9062268005247,0.3806194852415108
Q9GYP4,0.0051625947311828065,-0.09205842261558758,210.26193935432087,0.3806391717926277
Q7KLI1,0.004968383388217331,-0.08705529128281769,194.83992739524192,0.38977330652888137
A0A0K3AT43,0.004898678410382553,-0.15632181776819307,104.51155597278157,0.39312753508193693
O42145,0.004855409212375658,-0.13186048562455965,153.9158854980337,0.39523042993961716
Q9U2R5,0.00478554394584467,-0.1252343341833768,127.11315379665635,0.39866008742340275
C1P638,0.004754865684113872,-0.15283725996389688,104.27344580083638,0.40017960360593535
C3YWU0,0.0047498168487599066,-0.16037610412662576,94.40594843694537,0.40043047580985597
A0AVK6,0.004707381277534018,-0.04498128568100878,425.81505016208934,0.4025480672945737
A0A2H4ZEZ2,0.004650102838586258,-0.15609851236019504,97.01728051537006,0.405432135316043
A3RMS5,0.004581297777320152,-0.15732854646465086,93.45212541927253,0.40893645523397576
E1NZ07,0.0045521842943630425,-0.04713134585175979,320.85601750815835,0.41043255029695314
Q966A3,0.0044282628022289175,-0.12791101618109013,128.34909138737459,0.4168913228010271
Q09240,0.0043081228436602295,-0.13647657598639443,110.68289228416587,0.4232973123478673
